ID,Country,Region,City,Chinese Name
1,United Kingdom,England,London,倫登
2,New Zealand,Wellington,Wellington,威靈頓
3,Brazil,Santa Catarina,Itajaí,伊塔札義
4,-,-,-,
5,United Kingdom,England,Leeds,里茲
6,-,-,-,
7,Greece,-,-,
8,-,-,-,
9,-,-,-,
10,United States of America,Maryland,Baltimore,巴[爾]的摩
11,United Kingdom,England,Bath,巴斯
12,Slovenia,-,-,
13,United Kingdom,England,Chester,赤斯特
14,Belgium,Wallonia,Charleroi,夏勒華
15,Cyprus,-,-,
16,-,-,-,
17,United Kingdom,England,Leicester,列斯特
18,United Kingdom,England,Lincoln,林肯
19,Sweden,Södermanlands län,Nyköping,尼科平
20,United Kingdom,Scotland,Glasgow,格拉斯哥
21,United Kingdom,England,Norwich,諾里治
22,United Kingdom,England,Oxford,牛津
23,Denmark,Capital Region of Denmark,Copenhagen,哥本哈根
24,Australia,New South Wales,Sydney,雪梨
25,Philippines,-,-,
26,Turkey,Hatay,İskenderun,伊斯肯德隆(亞力山勒塔)
27,Sweden,Skåne län,Helsingborg,赫爾辛堡
28,United Kingdom,England,Wells,威爾司
29,India,Maharashtra,Mumbai,孟買
30,India,Delhi,New Delhi,新德里
31,India,Maharashtra,Pune,浦納
32,Pakistan,Islamabad Capital Territory,Islamabad,伊斯蘭馬巴德
33,Pakistan,Punjab,Lahore,拉合爾
34,-,-,-,
35,-,-,-,
36,-,-,-,
37,-,-,-,
38,-,-,-,
39,Australia,New South Wales,Taree,塔里
40,Germany,Free State of Bavaria,Erlangen,埃蘭根
41,Austria,Vienna,Vienna,維也納
42,Hungary,-,-,
43,United Kingdom,England,Portsmouth,朴次茅斯
44,France,Ile-de-France,Paris,巴黎
45,United Kingdom,England,Gloucester,格洛斯特
46,United Kingdom,England,Coventry,科芬特里
47,United Kingdom,England,Birmingham,伯明罕
48,United Kingdom,Scotland,Edinburgh,愛丁堡
49,United Kingdom,England,Canterbury,坎特柏立
50,United Kingdom,England,Peterborough,彼得波羅
51,United Kingdom,England,Plymouth,普利茅斯
52,United Kingdom,England,Exeter,艾克希特
53,Canada,Ontario,Toronto,多倫多
54,Germany,Lower Saxony,Hildesheim,希德斯海母
55,Switzerland,Bern,Bern,新伯恩
56,Canada,Ontario,Ottawa,渥太華
57,United States of America,Ohio,Cleveland,克利夫蘭
58,United States of America,Ohio,Toledo,托雷多
59,United States of America,Michigan,Detroit,底特律
60,Canada,Ontario,Hamilton,漢米頓
61,Canada,Ontario,Cambridge,劍橋
62,United States of America,Minnesota,Duluth,杜魯司
63,United States of America,Michigan,Sault Sainte Marie,Not Found
64,Canada,Ontario,Thunder Bay,威廉堡(桑德貝)
65,United States of America,Wisconsin,Green Bay,Not Found
66,Australia,Queensland,Toowoomba,土文巴
67,France,Rhône-Alpes,Lyon,來昂
68,Germany,Saxony,Chemnitz,肯尼茲(卡爾馬克斯城)
69,Germany,Hamburg,Hamburg,漢堡
70,-,-,-,
71,Norway,Troms,Tromsø,特隆瑟
72,United Kingdom,England,Newcastle upon Tyne,Not Found
73,United Kingdom,England,York,約克
74,Australia,New South Wales,Wollongong,沃隆岡
75,United Kingdom,England,Carlisle,卡來爾
76,Germany,North Rhine-Westphalia,Cologne,科隆
77,United Kingdom,England,Sunderland,桑德蘭
78,United Kingdom,England,Cambridge,劍橋
79,United Kingdom,England,Worcester,伍斯特
80,Sweden,Östergötlands län,Linköping,林科平
81,Norway,Oslo,Oslo,奧斯陸
82,Germany,Bremen,Bremen,不來梅[邦]
83,Austria,Styria,Graz,格拉茲
84,United Kingdom,England,Chelmsford,辰斯福
85,United Kingdom,England,Wakefield,威克非
86,Iraq,Baghdad,Baghdad,巴格達
87,Denmark,Region Zealand,Roskilde,Not Found
88,Denmark,Region of Southern Denmark,Esbjerg,艾斯比爾
89,United Kingdom,Scotland,Inverness,因弗內斯
90,United Kingdom,Scotland,Aberdeen,亞伯丁
91,United Kingdom,Wales,Swansea,斯萬西
92,Spain,Community of Madrid,Madrid,馬德里
93,United Kingdom,Scotland,Stirling,斯特陵
94,United Kingdom,England,Lichfield,利赤非
95,United Kingdom,England,Durham,達蘭
96,-,-,-,
97,-,-,-,
98,-,-,-,
99,-,-,-,
100,Norway,Hordaland,Bergen,卑爾根
101,United Kingdom,Scotland,Perth,伯斯
102,United Kingdom,Scotland,Dundee,丹地
103,United Kingdom,England,Hereford,赫瑞福
104,Germany,North Rhine-Westphalia,Herne,赫內
105,Spain,Valencian Community,Alicante,阿利坎提
