ID,Country,Region,City,Latitude,Longitude
1,United Kingdom,England,London,51.5074456,-0.1277653
2,New Zealand,Wellington,Wellington,-41.2887953,174.7772114
3,Brazil,Santa Catarina,Itajaí,-26.9046787,-48.6552979
4,-,-,-,N/A,N/A
5,United Kingdom,England,Leeds,53.7974185,-1.5437941
6,-,-,-,N/A,N/A
7,Greece,-,Athens,37.9755648,23.7348324
8,-,-,-,N/A,N/A
9,-,-,-,N/A,N/A
10,United States of America,Maryland,Baltimore,39.2908816,-76.610759
11,United Kingdom,England,Bath,51.3813864,-2.3596963
12,Slovenia,-,Ljubljana,46.0500268,14.5069289
13,United Kingdom,England,Chester,53.1908873,-2.8908955
14,Belgium,Wallonia,Charleroi,50.4116233,4.444528
15,Cyprus,-,Limassol,34.6852901,33.0332657
16,-,-,-,N/A,N/A
17,United Kingdom,England,Leicester,52.6362,-1.1331969
18,United Kingdom,England,Lincoln,53.2293545,-0.5404819
19,Sweden,Södermanlands län,Nyköping,58.7545409,17.0120656
20,United Kingdom,Scotland,Glasgow,55.861155,-4.2501687
21,United Kingdom,England,Norwich,52.6285576,1.2923954
22,United Kingdom,England,Oxford,51.7520131,-1.2578499
23,Denmark,Capital Region of Denmark,Copenhagen,55.6867243,12.5700724
24,Australia,New South Wales,Sydney,-33.8698439,151.2082848
25,Philippines,-,Quezon City,14.6510546,121.0486254
26,Turkey,Hatay,İskenderun,36.5902266,36.1710354
27,Sweden,Skåne län,Helsingborg,56.0442098,12.703706
28,United Kingdom,England,Wells,51.2094511,-2.6451203
29,India,Maharashtra,Mumbai,19.054999,72.8692035
30,India,Delhi,New Delhi,28.64308585,77.21926705734865
31,India,Maharashtra,Pune,18.5213738,73.8545071
32,Pakistan,Islamabad Capital Territory,Islamabad,33.6938118,73.0651511
33,Pakistan,Punjab,Lahore,31.5656822,74.3141829
34,-,-,-,N/A,N/A
35,-,-,-,N/A,N/A
36,-,-,-,N/A,N/A
37,-,-,-,N/A,N/A
38,-,-,-,N/A,N/A
39,Australia,New South Wales,Taree,-31.912864,152.4608481
40,Germany,Free State of Bavaria,Erlangen,49.589157099999994,10.98120719922546
41,Austria,Vienna,Vienna,48.1857192,16.4221587
42,Hungary,-,Pécs,46.0765092,18.2280317
43,United Kingdom,England,Portsmouth,50.800031,-1.0906023
44,France,Ile-de-France,Paris,48.8588897,2.3200410217200766
45,United Kingdom,England,Gloucester,51.8653705,-2.2458192
46,United Kingdom,England,Coventry,52.4081812,-1.510477
47,United Kingdom,England,Birmingham,52.4796992,-1.9026911
48,United Kingdom,Scotland,Edinburgh,55.9533456,-3.1883749
49,United Kingdom,England,Canterbury,51.2800275,1.0802533
50,United Kingdom,England,Peterborough,52.5725769,-0.2427336
51,United Kingdom,England,Plymouth,50.3714122,-4.1424451
52,United Kingdom,England,Exeter,50.7256138,-3.5269209
53,Canada,Ontario,Toronto,43.6534817,-79.3839347
54,Germany,Lower Saxony,Hildesheim,52.1527188,9.9518083
